altaren;church altar (het altaar)
aardbeving;earthquake
arm;poor,onderarm+bovernarm
aaien;to stroke
achterover;down,ahead
afsterven;to die off
achilleshiel;achilees heel
aanreiken;hand over
amper;nauwelijks
aanvullend;supplement
afvragen;demand,ask for
aantreffen;find
aanklacht;accusation
afkeurend;negative,disapprovingly
aankijken;look at
armoedig;poor
aller tijden;of all time
achterlijk;backwards
adembenemend;magnificent,breath taking
adem;breath
akker;the field
bezorgd;concerned,troubled
boomgaard;orchard
bevel;order,command
berg;mountain
betreurenswaardig;deplorable
bedelen;(1) to beg, (2) to assign, distribute
bezit;possession
blij;happy
besturen;to steer
burcht;castle(s)
besloten;closed,private
behaard;hairy
brancard;stretcher
bleek;pale,white from shock
bewusteloos;fainted
borst;breast
bontgekleurd;different bright coloured
bevolking;population
bungelen;dangling
bagatelliseren;trivialize
boosdoener;culprit
betrappen;catch,find out
beekje; streamlet
begeleiden;accompany
begenadigd;gifted, talented
blaten;gelud van schaap
blaffen;geluid van hond
brullen;geluid van leeuw
bestuursleden;board of directors
beurs;(stock) exchange
binnenvallen;invade
beloven;promise
benauwd;stuffy/suffocating
bloedserieus;very serious
bonken;thump,knock with fist
betoveren;bewitch,put a spell
bemoeien;interfere
bewegen;move,stir
bovendeurstukken;kunst boven de deur
bevinden;find
beweging;movement,motion
bewonderen;admire
behoeven;need
creatief;creative
cliënt;client
cel;cell
clinch;ruzie
concurrentie;competition,rivalry
drijven;drift,soaked,guide,push
duwtje;push (from duwen)
deftig;aristocratic, dignified
dwerg;dwarf
dief;thief
dra;soon
draaien;turn,swivel
durf;courage
duim;thumb
dijen;thighs
druppelen;dripping
decennia;decade
deskundigen;experts
degene;the one person
dwalen;wander
dwarszitten;annoy,bother
deels;partly
dwingen;force
doodervaring;death experience
dommel;nap
darmen;the bowels
duik;duck,duiken
dergelijk;such,similar
dakpan;tile
eren;to honor
ernstig;grave,serious,severe
eenzaam;lonely
erop;upon
elleboog;elbow
enkel;ankel
erop toezien;controleren,ensure
evenveel;equal quantity
eromheen;roundabout, around it
ezel;donkey
eisen;demand
eenmaal;once
in je eentje;alleen
iets aan de hand;happening
eindje;the fragment,kortstukje
erna;after that
eraan;it,connected to/with
erfgenaam;hier,inheritor
fraai;beautiful
fier;proud
fluiten;whistle
fors;sterk
foei;shame! (as exclamation)
flapdrol;jerk,idiot
fakkel;torch
geloven;believe
gevecht;fight, clash
gier;vulture
geinig;cute,funny
gevangen;imprisoned
gulden; guilders
gil; scream
gat;hole
geeuwen;yawn
grauw;soon
gehorig;noisy
graf;grave
grafzerk;tombstone,gravestone
gesmeekt;implored,begged (van smeken)
gezicht;face
gewiekst;clever,cunning,shrewd
grilling;capricious
gijzelen;take hostage,gevangen houden
genezen;heal
grootheden;celebrity
gebroeders;brothers
geduldig;patient
gedragen;behave
grens;border
goeds;good thing
goor;smerig,vies
gelegenheid;chance,opportunity
gewennen;get used to
geweld;violence,force
